timestamp,job_id,job_type,size,duration,priority,status,created_at,started_at,completed_at,processing_time,worker_id
2025-08-26T13:08:04.829514,3b1b75c7-7188-429b-bdc4-012e0c7c6af5,heuristic,1.1925070878688397,1.8120270579228748,5,pending,2025-08-26T13:08:04.829506,,,,
2025-08-26T13:08:04.829672,3b1b75c7-7188-429b-bdc4-012e0c7c6af5,heuristic,1.1925070878688397,1.8120270579228748,5,running,2025-08-26T13:08:04.829506,2025-08-26T13:08:04.829670,,,49cabd51-1aa9-4c0f-96fd-1e9ca961d295
